Age	CO2	proxy
205.4	835	stomatas
205.4	1777	paleosoils
205.4	1702	paleosoils
205.4	1085	paleosoils
205.4	1191	paleosoils
205.4	863	paleosoils
205.4	661	paleosoils
205.4	1030	paleosoils
205.4	513	paleosoils
205.4	623	paleosoils
205.4	1557	paleosoils
205.4	1202	paleosoils
205.4	1967	paleosoils
205.4	1783	paleosoils
205.4	880	paleosoils
205.4	843	paleosoils
205.4	1619	paleosoils
205.4	1214	paleosoils
205.4	614	paleosoils
205.4	1267	paleosoils
205.4	773	paleosoils
205.4	341	paleosoils
205.4	961	paleosoils
205.4	1171	paleosoils
205.6	388	liverworts
211.9	1264	paleosoils
211.9	667	paleosoils
211.9	1775	paleosoils
211.9	1703	paleosoils
211.9	2218	paleosoils
211.9	2064	paleosoils
212.3	111	paleosoils
212.3	544	paleosoils
212.3	643	paleosoils
212.3	13	paleosoils
212.3	45	paleosoils
212.3	372	paleosoils
212.3	1667	paleosoils
212.3	1702	paleosoils
212.3	1596	paleosoils
212.3	344	paleosoils
212.3	269	paleosoils
212.3	377	paleosoils
212.3	1443	paleosoils
212.3	1191	paleosoils
212.3	1349	paleosoils
212.3	1678	paleosoils
212.3	1295	paleosoils
212.3	1516	paleosoils
212.3	560	paleosoils
212.3	1367	paleosoils
219.0	880	paleosoils
219.0	695	paleosoils
223.3	800	paleosoils
223.3	660	paleosoils
223.3	732	paleosoils
223.3	1140	paleosoils
223.3	900	paleosoils
230.5	813	stomatas
232.7	585	paleosoils
232.7	116	paleosoils
233.8	789	stomatas
233.8	825	stomatas
242.1	284	paleosoils
242.1	244	paleosoils
242.1	605	paleosoils
246.1	580	paleosoils
246.1	300	paleosoils
259.4	400	paleosoils
270.6	343	stomatas
270.6	266	stomatas
270.6	290	stomatas
270.6	326	stomatas
270.6	342	stomatas
273.7	133	paleosoils
277.6	1237	paleosoils
279.4	358	paleosoils
280.7	133	paleosoils
281.1	1248	paleosoils
282.4	899	paleosoils
283.4	1100	paleosoils
283.8	1012	paleosoils
284.5	824	paleosoils
284.8	792	paleosoils
285.0	792	paleosoils
285.6	354	stomatas
285.6	70	paleosoils
285.8	774	paleosoils
286.9	1449	paleosoils
287.0	1030	paleosoils
287.4	397	paleosoils
288.9	183	paleosoils
289.4	182	paleosoils
289.9	620	paleosoils
290.2	411	paleosoils
290.4	1700	paleosoils
290.4	419	paleosoils
290.5	0	paleosoils
290.5	461	paleosoils
290.5	600	paleosoils
293.1	208	paleosoils
294.3	50	paleosoils
295.9	47	paleosoils
296.6	65	paleosoils
297.9	288	paleosoils
298.6	515	paleosoils
299.7	399	paleosoils
299.9	697	paleosoils
300.2	882	paleosoils
303.0	588	paleosoils
303.0	250	paleosoils
303.0	608	paleosoils
313.5	348	stomatas
313.5	351	stomatas
313.5	336	stomatas
313.5	308	stomatas
313.5	350	stomatas
313.5	366	stomatas
313.5	368	stomatas
313.5	358	stomatas
313.5	303	stomatas
313.5	367	stomatas
313.5	350	stomatas
313.5	401	stomatas
313.5	287	stomatas
313.5	311	stomatas
313.5	284	stomatas
313.5	325	stomatas
316.6	261	stomatas
324	385	stomatas
324	392	stomatas
324	359	stomatas
327.1	290	paleosoils
327.1	210	paleosoils
332.6	320	paleosoils
338.8	190	paleosoils
344.8	824	paleosoils
344.9	524	paleosoils
365.6	395	paleosoils
365.6	600	paleosoils
365.6	1140	paleosoils
365.6	1260	paleosoils
377.5	1120	paleosoils
385.2	1560	paleosoils
388	624	paleosoils
400.5	2282	stomatas
402.6	1320	paleosoils
409.2	2836	stomatas
421.1	1440	paleosoils
423.3	1680	paleosoils
